pergunta,resposta
Quais são os sabores de pizza?,"Temos calabresa, portuguesa, frango com catupiry, marguerita, quatro queijos, entre outras!"
Que tipos de pizza vocês têm?,"Oferecemos diversos sabores como frango, calabresa, portuguesa, bacon, e doces também!"
Qual é o cardápio de vocês?,"Nosso cardápio inclui pizzas tradicionais, especiais e doces. Quer que eu envie completo?"
Pode me mostrar os sabores disponíveis?,Claro! Temos sabores salgados e doces. Quer uma lista completa?
Quais pizzas vocês oferecem?,Temos uma grande variedade. Posso te mandar o cardápio completo pelo WhatsApp?
Qual o horário de funcionamento?,Funcionamos todos os dias das 18h às 23h.
Quando a pizzaria abre e fecha?,"Abrimos diariamente das 18h às 23h, inclusive finais de semana!"
Vocês abrem todo dia?,"Sim, estamos abertos todos os dias das 18h às 23h."
Quais os horários de atendimento?,Atendemos das 18h às 23h todos os dias.
Qual o expediente da pizzaria?,"Nosso horário é das 18h até as 23h, todos os dias."
Vocês fazem entrega?,"Sim, entregamos em várias regiões da cidade."
A pizzaria entrega em casa?,Claro! Temos delivery para diversos bairros.
Tem delivery?,Temos sim! Pode mandar seu endereço que verificamos.
Vocês entregam na minha região?,Entregamos sim! Qual o seu bairro?
Como funciona a entrega de vocês?,A entrega funciona todos os dias das 18h às 23h.
Quais formas de pagamento vocês aceitam?,"Aceitamos Pix, dinheiro e cartões de débito/crédito."
Aceita cartão?,"Sim, aceitamos cartão de crédito e débito!"
Posso pagar com Pix?,Claro! Pix é uma das formas mais usadas aqui.
Quais métodos de pagamento posso usar?,"Você pode pagar com Pix, cartão ou dinheiro."
Vocês aceitam dinheiro e cartão?,"Trabalhamos com dinheiro, cartões e Pix."
Tem promoção hoje?,"Hoje temos 2 pizzas médias por R$49,99!"
Quais são as promoções do dia?,"Temos desconto na pizza grande hoje, quer aproveitar?"
Vocês estão com alguma oferta?,Estamos com promoção relâmpago! 15% off no combo família!
Tem desconto hoje?,Sim! Temos combos especiais hoje. Posso te mandar!
Quais combos promocionais estão ativos?,Hoje o combo pizza + refrigerante está com desconto!
Quais sabores de pizza vocês têm?,"Temos calabresa, portuguesa, frango com catupiry, marguerita, quatro queijos, entre outras!"
Pode listar os sabores disponíveis?,"Temos calabresa, portuguesa, frango com catupiry, marguerita, quatro queijos, entre outras!"
Que sabores posso pedir?,"Temos calabresa, portuguesa, frango com catupiry, marguerita, quatro queijos, entre outras!"
Vocês têm pizza vegetariana?,Sim! Temos opções vegetarianas com ingredientes frescos e deliciosos.
Tem opções sem carne?,"Sim, temos pizzas vegetarianas feitas com vegetais frescos."
Qual pizza vegetariana vocês oferecem?,Oferecemos pizzas vegetarianas saborosas com ingredientes frescos.
Qual o sabor mais popular?,A pizza de calabresa com extra de queijo é a mais pedida.
Qual pizza todo mundo gosta aqui?,A mais pedida é a calabresa com muito queijo.
Tem alguma pizza campeã de vendas?,"Sim, a pizza de calabresa é a campeã entre nossos clientes."
Vocês têm pizza doce?,"Sim, temos pizza de chocolate, morango com leite condensado e banana com canela."
Fazem pizza para sobremesa?,"Sim, nossas pizzas doces são deliciosas e muito pedidas."
Qual é a pizza doce mais vendida?,A pizza de chocolate é a mais popular entre as doces.
Quanto tempo demora a entrega?,A entrega demora entre 30 a 45 minutos em média.
Qual o tempo para receber o pedido?,Nosso tempo médio de entrega é de 30 a 45 minutos.
Vocês entregam rápido?,"Sim, normalmente a entrega leva até 45 minutos."
Vocês aceitam cartão de crédito?,"Sim, aceitamos cartões de débito e crédito."
Posso pagar com cartão?,Claro! Aceitamos todas as bandeiras principais de cartão.
Quais formas de pagamento aceitam?,"Aceitamos dinheiro, cartões e Pix."
Tem promoção para pizza hoje?,"Sim! Hoje temos promoção de 2 pizzas médias por R$49,99."
Quais ofertas estão disponíveis hoje?,Temos desconto especial na pizza grande hoje.
Tem algum desconto?,"Sim, confira nossas promoções relâmpago de hoje!"
A pizzaria entrega no meu bairro?,"Sim, fazemos entrega em diversos bairros da cidade."
Fazem delivery na minha região?,"Sim, informe seu endereço para verificarmos a entrega."
Tem taxa de entrega?,"Dependendo do bairro, pode haver taxa de entrega."
Vocês funcionam aos domingos?,"Sim, estamos abertos todos os dias, inclusive domingos."
Qual o horário no domingo?,Nosso horário no domingo é das 18h às 23h.
Posso retirar a pizza no local?,"Sim, temos opção de retirada no balcão."
Tem borda recheada?,"Sim, oferecemos bordas recheadas com catupiry, cheddar ou requeijão."
A borda recheada tem custo extra?,"Sim, a borda recheada tem um pequeno acréscimo no preço."
Posso pedir pizza sem cebola?,"Claro, podemos fazer a pizza sem cebola sem problemas."
